salesorderid,subtotal
61285,71.58
61199,70132.6554
61207,2651.0968
61185,554.0328
61202,5275.6329
61267,32268.6182
61283,60.47
61266,15593.0629
61244,65815.9668
61293,89.97
61241,31761.0472
61213,9078.192
61253,813.5856
61182,63162.5722
61183,35.0935
61260,777.5856
61187,65.988
61195,48351.9497
61256,181.974
61301,2479.94
61747,123.98
61766,2354.98
61752,68.49
61771,2376.96
61757,56.97
61767,2334.97
61768,2376.96
61769,2367.93
61754,64.47
61748,123.98
61776,2384.07
61775,1268.84
62249,28.99
62250,32.6
62252,45.22
62279,2407.04
62271,2370.96
63143,105.4261
63308,51.96
63341,2357.28
63268,4332.5632
63133,39102.9858
63336,604.96
63340,2337.27
63198,3668.7336
63148,26494.3806
63156,28945.251
63338,2319.99
63196,2002.2984
63131,104319.4133
63247,32523.3584
63249,28276.4371
63273,90.987
63354,553.97
63329,196.29
63356,1179.97
63351,1248.83
63157,58137.7595
63287,1144.6387
63289,8307.4575
63337,608.96
63333,71.95
63278,1943.676
63159,3532.2531
63202,25463.7967
63276,45.4935
63265,554.0328
63149,61157.893
63318,76.97
63224,98012.2296
63158,3623.2401
63142,45.8208
63871,777.34
63837,2.29
63848,37.21
63861,589.96
63858,42.28
63850,106.96
64332,12.94
64318,49.48
64365,1273.32
64320,29.99
64322,32.28
64354,2362.27
64353,2369.97
64349,37.29
65175,23569.5271
65347,38.88
65159,16309.7122
65263,51021.9364
65200,56915.6346
65270,1879.8603
65199,63113.7898
65354,124.99
65211,6006.8952
65357,56.97
65255,37706.8752
65373,2329.99
65170,6518.6714
65316,227.4675
65345,49.48
65296,6478.5744
65179,534.492
65256,5799.7347
65312,57914.3213
65343,58.47
65203,4502.0448
65252,25392.1413
65268,35189.5494
65372,2334.24
65230,91.8932
65234,63322.9308
65212,137.8398
65278,45944.3113
65322,7254.982
65225,806.7528
65346,96.07
65258,6236.0127
65849,902.46
65829,67.97
65868,1754.98
65825,64.97
65843,70.96
65851,2406.95
65852,2354.98
65864,1170.48
66362,2438.06
66334,32.6
66353,2369.97
66356,2374.98
66336,45.22
67315,8687.2228
67337,318.4545
67269,452.7394
67401,1129.48
67406,1732.26
67297,113252.4963
67335,2312.6134
67388,2361.95
67405,1729.97
67334,59.9326
67294,66245.5197
67310,299.6926
67322,75997.3582
67399,1205.47
67309,4372.7986
67266,85828.7208
67346,50000.0044
67402,1709.98
67321,60748.8992
67372,163.99
67300,272.961
67386,2362.27
67396,563.77
67379,35.0
67265,1655.4936
67373,31.97
67955,1754.98
67949,588.96
67927,26.97
67953,1760.47
67919,37.27
67946,2393.06
68443,769.49
68453,2398.05
68413,6.28
68412,120.0
68427,75.97
68426,58.98
68442,848.47
68460,1179.47
68414,28.98
68417,30.48
68419,58.47
68444,2376.96
69413,32170.7806
69602,12.94
69524,2316.247
69591,29.98
69406,39686.683
69552,5960.1819
69484,2342.9061
69521,61701.8794
69408,61612.5425
69592,71.58
69421,31674.3104
69593,32.6
69407,798.1085
69525,38974.8063
69422,85031.3333
69529,1936.1367
69488,822.009
69596,215.96
69615,81.46
69500,2527.2009
69530,534.492
69420,1834.3668
69594,191.27
69618,2341.97
69471,118804.5539
69475,68177.4996
69614,37.29
69487,6213.4518
69508,127361.5271
69423,318.4545
69458,554.0328
70218,2391.45
70241,1754.98
70220,2297.28
70179,40.23
70210,563.96
70214,2405.47
70177,37.27
70217,2309.97
70233,2384.07
70187,123.98
70184,12.94
70809,600.46
70778,23.97
70776,49.97
70816,1120.49
70780,56.97
71791,24156.4256
71935,6634.2961
71986,624.97
71886,35545.0942
71833,63690.0778
71962,53.99
71812,31806.3732
71941,3719.714
71982,2319.99
71861,2199.3862
71818,55526.0753
71925,6499.8932
71775,2093.3344
71919,2785.5144
71972,89.97
71932,657.304
71954,58.98
71862,1468.4338
71835,64801.7394
71977,46.47
71777,1147.3478
71980,2294.99
71943,42877.1806
71981,2294.99
71893,49981.0584
71785,36022.7343
71790,4802.2446
71880,38723.8444
71836,81644.2102
71904,69684.4668
71856,602.1946
72563,1268.84
72568,588.96
72522,28.98
72545,572.26
72528,44.97
72530,25.22
72553,2376.96
72544,160.46
72548,850.95
73121,93.46
73152,2389.46
73156,2396.94
73169,608.96
73171,624.97
73159,2312.26
73125,71.58
73127,64.97
73170,548.98
73130,37.27
73167,2384.07
74163,128.47
74158,97.96
74159,23.78
74168,123.98
74434,106.96
74426,25.48
74439,76.97
74659,110.46
74688,42.28
43686,4155.9598
43665,17199.2839
43671,9760.1695
43683,51339.3613
43669,881.4687
43664,29312.401
43866,4890.3356
43917,25635.232
43895,39018.6078
43911,23708.1808
43914,9780.6712
43909,30764.0555
43869,59182.5878
43894,38983.8098
43848,21923.9352
43849,24624.706
43877,24713.954
43867,39366.1384
43860,13216.0537
44109,16619.186
44126,17112.8246
44078,33777.2501
44100,98558.2649
44121,77908.2533
44075,31734.4314
44285,69504.417
44308,14816.4267
44312,2516.7535
44291,5562.2096
44284,105374.8038
44483,3620.7951
44510,2099.5056
44501,23646.0339
44540,46439.0065
44516,503.3507
44511,12191.5827
44561,50619.1329
44523,89317.6978
44570,70262.9153
44489,12340.8002
44514,51197.775
44554,891.2004
44513,52308.8789
44567,56325.7151
44492,81075.5851
44563,57303.3112
44541,60989.9637
44788,104472.3272
44741,4895.9856
44743,50827.2814
44762,111552.1001
44794,4859.9856
44771,83612.7698
44792,41682.3454
44796,16408.5822
45041,503.3507
45064,63623.1063
45043,39085.4472
45049,1678.0092
45068,2559.8049
45050,5229.0976
45042,48774.731
45283,34066.1881
45295,19554.6424
45274,80385.1926
45296,29176.9138
45338,68571.5304
45273,48761.856
45336,32867.7768
45267,4155.9598
45344,69714.2818
45320,12228.664
45292,31.2437
45294,41267.4898
45303,24472.1402
45318,36073.76
45342,75642.4768
45572,12842.0759
45521,23170.1602
45518,14615.9568
45542,67685.9788
45549,60903.4059
45570,38915.8848
45564,75382.5207
45789,3779.8088
45790,3483.7828
45804,48944.8205
45782,48936.2054
45808,5119.6098
45783,31262.974
46030,9793.0212
46032,37210.3964
46053,63534.2155
46098,61757.1056
46042,31423.5209
46060,54681.316
46105,67656.5979
46102,12320.6949
46052,29473.2819
46100,57195.6478
46077,45381.99
46051,39836.4817
46025,3168.6944
46080,17095.1933
46092,891.2004
46382,16408.5822
46322,220.2496
46348,54639.5019
46379,8100.2201
46327,28863.4094
46356,70833.2692
46381,1762.9374
46323,6395.6563
46372,71745.1091
46618,93.7311
46611,94460.1485
46612,1996.2554
46647,97673.8589
46613,3569.4338
46650,5130.1505
46619,77.987
46649,12543.5301
46643,135653.7237
46609,2920.271
46646,1302.4052
46667,18046.4893
47066,69336.7113
47057,19414.7955
46990,1140.0954
46957,90865.811
46958,2950.7014
47043,258.0824
46966,49264.4054
46967,58305.0682
46974,48491.0093
47051,25.308
46978,394.627
47036,3007.5377
46976,9216.3596
46972,46241.9896
46973,7480.7894
47005,1575.3721
46944,93678.0268
47033,113352.4759
47054,51654.3367
47349,1926.0182
47443,9047.7586
47452,7299.3898
47367,31953.4398
47448,2564.0369
47387,48438.0729
47382,80.9089
47442,297.0759
47385,3881.9997
47368,8065.2233
47403,65889.4704
47444,10866.2878
47719,11844.8122
47671,40.373
47701,7669.972
47665,40.373
47722,226.8571
47672,76.5315
47697,469.0117
47699,7412.0845
47694,87555.5186
47698,87564.5416
47688,2982.8442
47667,2449.6033
47695,123.4675
47666,90528.2539
47992,52175.3534
48064,109.6828
47998,13654.8353
48057,104134.5193
48058,25.308
48001,43537.4224
47999,41228.407
47985,25.308
48087,57585.9269
48029,20.1865
48083,8239.0687
47997,4949.8589
48078,2950.7014
47970,86975.1713
47991,42446.7153
47986,106017.2819
48079,52252.0438
48060,1691.2584
48014,258.0824
47982,83.3106
48385,8456.292
48381,3589.4148
48328,36242.7108
48326,2077.2513
48310,29829.7714
48322,720.315
48289,784.1659
48383,3578.7936
48308,3573.9698
48347,53232.2863
48387,4970.9236
48294,2982.8442
48390,5141.3734
48782,563.7528
48741,44477.0259
48746,86458.6137
48789,11838.8088
48742,49.387
48732,497.6453
48749,3946.2696
48743,774.2472
48765,1769.1174
48757,76632.1077
48747,10475.6159
48756,777.5928
49105,30441.5048
49051,1491.4221
49150,2252.9435
49043,258.0824
49143,244.2444
49053,58516.6217
49136,84092.9562
49167,52080.0501
49054,1574.1247
49095,80541.5535
49142,258.0824
49107,92.3002
49112,6049.5638
49059,316.5759
49161,60315.4872
49114,39588.436
49081,1475.3507
49163,9246.0274
49092,23959.629
49101,30567.9341
49539,4540.8975
49449,49.387
49503,4137.4706
49464,41201.4136
49543,258.0824
49497,12402.5616
49493,5073.7752
49544,500.2215
49494,22905.5778
49548,7892.5392
49500,647.0509
49847,315.0891
49852,8059.1354
49863,116.987
49858,563.7528
49883,97.487
49846,307.766
49850,6396.2456
49844,91060.5813
49889,8591.3353
49866,143.3963
49829,2021.8972
49875,666.4773
49826,88905.6748
49861,1596.2947
49849,59386.6124
50287,226.8571
50297,124079.9878
50321,53135.6944
50206,72009.9375
50240,80.9089
50316,7990.7732
50227,183.8049
50210,44400.0944
50216,1751.5987
50217,39150.6909
50215,4540.8975
50299,1010.2365
50305,777.5928
50267,1475.3507
50270,94218.4198
50314,54891.7048
50241,166.374
50218,40935.181
50209,36092.9675
50207,907.9127
50669,4438.8783
50671,27727.47
50715,3475.3626
50758,5385.5988
50754,9916.99
50693,38533.8358
50718,1687.712
50678,20443.9027
50750,3324.583
51123,113184.0181
51184,2394.97
51097,3304.7856
51183,1750.98
51164,820.1163
51128,1591.4674
51136,777.5856
51163,388.7928
51146,68179.7691
51127,85897.4104
51148,55829.706
51089,89494.4391
51145,17602.2363
51093,184.8446
51167,1279.1566
51138,47550.9429
51452,553.97
51826,97883.7722
51893,29.99
51838,47577.3682
51712,36137.7725
51865,623.1434
51821,5208.0453
51880,22.97
51723,4158.3233
51711,123118.9525
51707,964.4314
51765,3304.7856
51728,3534.1671
51721,118311.0932
51789,81199.5902
51792,1009.73
51783,130340.6317
51863,554.0328
51915,2479.94
51802,4062.9312
51800,3161.7102
51726,63334.2102
51846,1166.3784
51920,1145.48
51859,2417.5794
51830,135620.8741
51911,42.28
51912,35.0
51715,45155.5909
51797,38.9536
51889,75.48
52322,2369.97
52320,2322.28
52284,7.95
52321,2365.95
52326,548.98
52714,561.97
52688,28.99
52721,1268.84
52690,34.98
52691,71.58
53643,64.47
53623,9251.3585
53605,90469.9926
53522,1817.2728
53487,1759.212
53493,28510.4656
53629,2.29
53633,132.95
53473,2096.2894
53613,51466.5465
53569,33631.7026
53547,5329.5096
53603,10538.0049
53576,53094.753
53451,2203.7022
53467,6688.6568
53637,113.47
53641,148.47
53617,195.397
53571,66481.3908
53514,74955.9458
53457,57547.6298
53638,119.98
53452,69504.252
53500,56140.9958
53518,107045.0519
53649,71.97
53469,26104.269
53578,12141.8845
53584,4481.3562
54052,182.78
54080,42.28
54061,123.98
54094,2366.96
54493,132.94
54513,1750.98
54486,28.99
55241,72912.5035
55325,57276.9436
55344,64.97
55277,69295.8909
55278,3850.7076
55295,11226.7531
55246,129.8626
55346,64.97
55291,45535.5243
55269,59686.0916
55368,44.91
55299,65428.4628
55377,548.98
55273,272.961
55284,4083.9252
55286,4398.8794
55318,837.5182
55271,2135.2164
55347,71.58
55289,195.397
55831,36.27
55839,9.99
55842,59.98
55844,54.96
55854,86.95
56243,49.97
56272,1174.48
56228,7.95
56256,589.47
57045,59115.9203
57170,3539.531
57099,64718.2055
57111,5275.6329
57109,6751.8952
57090,45.4935
57105,135225.2998
57222,99.47
57130,34738.2802
57151,2448.929
57204,32.27
57135,6783.6936
57163,184.8446
57031,1202.3784
57136,103494.9662
57046,87806.0415
57036,45603.3022
57026,36286.2912
57160,34522.8199
57235,836.32
57208,78.48
57030,76688.2412
57110,6931.1122
57210,103.96
57025,406.7928
57176,2591.6383
57044,4106.6501
57167,874.692
57681,561.92
57682,1170.48
57670,2294.99
57642,31.27
57662,71.97
57649,49.97
57641,21.49
57648,64.97
57637,120.0
57678,777.34
57654,30.97
58088,35.23
58085,21.49
58110,2316.97
58074,166.95
58122,588.96
59019,2386.8583
58966,2785.5144
59031,56175.0118
59065,1854.1915
59059,30528.0254
59092,2.29
58962,67982.2806
59060,1108.0656
59050,6573.8802
59066,29935.0196
58904,969.3482
58991,2308.0984
59021,54171.4287
58946,49529.1563
58917,7448.5713
59010,49059.6903
58999,1409.5224
58963,93625.7137
59117,2400.95
58933,1555.3812
58961,66606.5167
58910,43922.9912
59061,8852.4459
58916,22978.7954
58940,18691.952
58901,1751.6239
59687,804.48
59674,12.94
59698,2438.06
59689,2329.98
59686,554.97
59664,36.59
60245,1700.99
60199,190.27
60207,132.97
60229,680.94
60202,38.88
60204,46.83
60212,54.98
60209,119.98
60243,2398.05
60195,53.99
60214,59.98
60231,2329.98
60203,34.98
60224,131.46
60736,2376.96
60733,2345.22
60752,2398.05
60700,58.98
60755,1145.48
60707,21.49
60714,22.93
60732,645.95
60734,2344.26
60748,751.34
60751,777.34
60735,2294.99
61358,2405.47
61359,2319.99
61360,2419.96
61328,53.99
61357,863.95
61830,39.99
61797,53.99
61847,2393.06
61804,121.94
61835,806.76
61809,98.96
61837,2391.43
61810,123.98
61798,11.94
61844,2393.06
62298,127.95
62316,24.27
62337,553.97
62302,147.95
62297,15.23
62306,49.97
62315,76.96
62299,31.27
62743,561.48
62706,6.28
62695,59.48
62705,6.28
62709,33.43
62735,2400.95
63377,123.98
63382,12.94
63375,36.27
63373,2.29
63414,603.49
63383,67.93
63404,2395.96
63939,2384.07
63941,1143.46
63924,2369.97
63928,2350.96
63895,2.29
63919,59.27
63923,589.96
63898,38.88
63904,59.98
63930,2329.98
63938,1249.84
64429,2322.28
64404,26.97
64436,901.35
64403,15.23
64766,2401.96
64782,607.96
64743,64.97
64747,37.27
64777,2420.34
65407,37.97
65419,89.97
65446,2433.04
65411,29.99
65423,45.95
65433,2451.95
65923,91.97
